Nome,Matrícula,Ranking,Curso
Luisa,689882,13,Administracao
Maria,699290,13,Letras
Luis,699750,13,Letras
Marcos,702049,13,Quimica
Marcos,714994,13,Direito
Tiago,719744,13,Computacao
Marcos,739751,13,Administracao
Flora,750282,13,Medicina
Lara,763315,13,Direito
Julia,783790,13,Fisica
Joao,790868,13,Matematica
Zeca,810706,13,Fisica
Lucas,894150,13,Quimica
Marcia,901260,13,Letras
Rodrigo,908991,13,Direito
Pedro,910442,13,Administracao
Maria,917829,13,Quimica
Amanda,920438,13,Direito
Celia,926852,13,Computacao
Zeca,927295,13,Computacao
Ana,938873,13,Computacao
Maria,943688,13,Quimica
Joao,943737,13,Letras
Flora,946330,13,Letras
Lucia,946832,13,Fisica
Rodrigo,949092,13,Fisica
Celia,951918,13,Administracao
Celia,954168,13,Medicina
Joao,957622,13,Letras
Lara,967845,13,Matematica
Maria,970382,13,Quimica
Tiago,972214,13,Letras
Flora,975312,13,Fisica
Tiago,976284,13,Direito
Luisa,977803,13,Medicina
Lucas,980309,13,Computacao
Celia,981573,13,Medicina
Marcia,987190,13,Engenharia
Lucia,105993,14,Administracao
Marcos,113283,14,Fisica
Flora,127507,14,Fisica
Lucas,152484,14,Computacao
Zeca,156688,14,Fisica
Luisa,165030,14,Direito
Flora,165561,14,Engenharia
Pedro,177568,14,Matematica
Flora,179136,14,Matematica
Joao,184650,14,Fisica
Luisa,185666,14,Quimica
Clara,186699,14,Computacao
Celia,190621,14,Direito
Flora,190784,14,Computacao
Lara,196327,14,Letras
Maria,197467,14,Odontologia
Jose,199712,14,Administracao
Marcos,207554,14,Administracao
Luis,214549,14,Medicina
Clara,217121,14,Odontologia
Zeca,217948,14,Administracao
Tiago,222989,14,Quimica
Lucas,223589,14,Matematica
Luisa,225463,14,Quimica
Maria,228618,14,Odontologia
Marcos,237085,14,Computacao
Rodrigo,242842,14,Direito
Amanda,243550,14,Administracao
Celia,244550,14,Computacao
Ana,280059,14,Computacao
Lucia,285033,14,Letras
Lucas,292725,14,Engenharia
Ana,294582,14,Administracao
Pedro,309249,14,Computacao
Clara,313657,14,Administracao
Tiago,314311,14,Administracao
Julia,323525,14,Quimica
Luis,325049,14,Medicina
Joao,325156,14,Fisica
Maria,341238,14,Odontologia
Joao,355226,14,Medicina
Zeca,364838,14,Odontologia
Tiago,368569,14,Administracao
Flora,373412,14,Odontologia
Flora,389235,14,Direito
Pedro,389961,14,Direito
Flora,390934,14,Medicina
Lara,412706,14,Letras
Marcia,418858,14,Direito
Luis,419194,14,Administracao
Jose,421688,14,Computacao
Marcia,425375,14,Administracao
Pedro,425558,14,Odontologia
Joao,428427,14,Odontologia
Luis,437804,14,Matematica
Lucia,441937,14,Matematica
Amanda,441986,14,Direito
Lara,444676,14,Computacao
Flora,449969,14,Letras
Julia,470132,14,Odontologia
Luisa,470618,14,Engenharia
Luisa,478267,14,Fisica
Luis,481099,14,Administracao
Celia,487019,14,Odontologia
Ana,496387,14,Odontologia
Celia,505148,14,Direito
Celia,506164,14,Quimica
Lara,513593,14,Quimica
Clara,514881,14,Odontologia
Julia,517212,14,Odontologia
Celia,519615,14,Medicina
Zeca,522373,14,Fisica
Julia,532298,14,Administracao
Lucia,548174,14,Computacao
Luisa,554251,14,Computacao
Flora,562741,14,Quimica
Marcia,585534,14,Matematica
Pedro,587581,14,Quimica
Tiago,590121,14,Engenharia
Lucas,592177,14,Medicina
Ana,593313,14,Letras
Marcos,605524,14,Computacao
Tiago,621824,14,Direito
Amanda,630131,14,Administracao
Maria,631512,14,Odontologia
Rodrigo,639081,14,Direito
Luisa,641538,14,Fisica
Flora,667959,14,Computacao
Celia,713901,14,Direito
Luisa,722278,14,Fisica
Zeca,728941,14,Letras
Amanda,731036,14,Quimica
Lara,731704,14,Quimica
Marcos,736806,14,Matematica
Jose,761234,14,Computacao
Amanda,773495,14,Letras
Ana,778998,14,Direito
Tiago,785413,14,Administracao
Maria,786147,14,Medicina
Marcia,791006,14,Odontologia
Zeca,794625,14,Medicina
Celia,798429,14,Odontologia
Amanda,813595,14,Matematica
Ana,822795,14,Computacao
Luis,827137,14,Engenharia
Jose,851797,14,Computacao
Ana,867013,14,Computacao
Lucia,870057,14,Letras
Zeca,870865,14,Letras
Joao,874206,14,Administracao
Maria,879229,14,Computacao
Rodrigo,884075,14,Computacao
Lucia,885865,14,Quimica
Celia,896572,14,Computacao
Maria,910939,14,Letras
Ana,920725,14,Letras
Julia,921248,14,Letras
Flora,936294,14,Matematica
Amanda,946956,14,Quimica
Joao,947072,14,Fisica
Lucas,965991,14,Administracao
Clara,979115,14,Direito
Maria,992055,14,Engenharia
Zeca,103677,15,Odontologia
Tiago,105193,15,Fisica
Clara,110745,15,Administracao
Rodrigo,114373,15,Odontologia
Amanda,114478,15,Direito
Zeca,115712,15,Direito
Lucas,133403,15,Odontologia
Joao,142397,15,Matematica
Marcos,148802,15,Engenharia
Amanda,191920,15,Letras
Marcia,196501,15,Engenharia
Zeca,210863,15,Letras
Celia,234807,15,Matematica
Pedro,236855,15,Administracao
Marcos,244397,15,Computacao
Joao,247460,15,Quimica
Celia,248210,15,Direito
Amanda,251441,15,Fisica
Lucia,259181,15,Quimica
Amanda,260794,15,Computacao
Lucia,269497,15,Fisica
Luisa,273050,15,Quimica
Pedro,304122,15,Computacao
Lucia,316762,15,Matematica
Luis,317896,15,Odontologia
Celia,319386,15,Fisica
Julia,332879,15,Matematica
Luisa,333267,15,Matematica
Celia,338048,15,Quimica
Pedro,362205,15,Matematica
Luis,362553,15,Odontologia
Luis,368972,15,Fisica
Zeca,395897,15,Matematica
Ana,398806,15,Direito
Pedro,399641,15,Administracao
Julia,403017,15,Odontologia
Zeca,404273,15,Fisica
Marcos,405816,15,Computacao
Rodrigo,424397,15,Medicina
Zeca,426171,15,Fisica
Maria,463971,15,Medicina
Joao,466026,15,Engenharia
Flora,477276,15,Administracao
Lara,484714,15,Direito
Marcia,495145,15,Computacao
Flora,503902,15,Medicina
Amanda,546846,15,Fisica
Joao,548232,15,Letras
Luis,585101,15,Odontologia
Pedro,597167,15,Fisica
Celia,601497,15,Medicina
Ana,617535,15,Administracao
Flora,637717,15,Letras
Ana,647029,15,Matematica
Clara,649283,15,Computacao
Marcos,649917,15,Medicina
Ana,657272,15,Medicina
Jose,665010,15,Administracao
Marcia,671955,15,Fisica
Clara,679268,15,Engenharia
Flora,681347,15,Administracao
Tiago,684641,15,Engenharia
Luis,686498,15,Odontologia
Clara,692749,15,Quimica
Clara,706805,15,Odontologia
Lara,717184,15,Engenharia
Clara,727840,15,Fisica
Pedro,730763,15,Odontologia
Zeca,734845,15,Letras
Tiago,743238,15,Quimica
Julia,762248,15,Engenharia
Joao,762525,15,Fisica
Luis,765172,15,Computacao
Flora,771077,15,Medicina
Luis,781133,15,Odontologia
Flora,783521,15,Direito
Marcia,786027,15,Matematica
Rodrigo,799241,15,Quimica
Marcos,812086,15,Engenharia
Celia,815448,15,Administracao
Lara,828489,15,Direito
Ana,835844,15,Quimica
Celia,841724,15,Letras
Jose,843459,15,Fisica
Lucas,843617,15,Matematica
Jose,847963,15,Engenharia
Celia,848679,15,Odontologia
Lucia,853604,15,Engenharia
Julia,861167,15,Letras
Julia,861634,15,Direito
Lucas,863242,15,Odontologia
Julia,866392,15,Medicina
Jose,873822,15,Computacao
Ana,904337,15,Engenharia
Lucas,912024,15,Matematica
Marcos,927164,15,Medicina
Clara,931889,15,Administracao
Lara,932064,15,Quimica
Jose,957922,15,Administracao
Tiago,960353,15,Letras
Ana,966142,15,Matematica
Lucia,977880,15,Odontologia
Rodrigo,993716,15,Quimica
Flora,102573,16,Administracao
Lucia,105136,16,Matematica
Luisa,108835,16,Letras
Tiago,125227,16,Odontologia
Tiago,126895,16,Administracao
Lara,138159,16,Odontologia
Luisa,143726,16,Engenharia
Marcos,147833,16,Direito
Luis,153017,16,Quimica
Pedro,155080,16,Administracao
Lucas,162806,16,Letras
Flora,166276,16,Medicina
Lucas,174212,16,Fisica
Marcos,179386,16,Medicina
Zeca,213150,16,Direito
Jose,214365,16,Direito
Tiago,219405,16,Administracao
Lucas,234775,16,Quimica
Luisa,248633,16,Letras
Ana,260530,16,Quimica
Luis,261216,16,Administracao
Lucas,270387,16,Direito
Maria,272603,16,Fisica
Julia,290431,16,Engenharia
Julia,291373,16,Administracao
Marcia,295870,16,Computacao
Marcos,297486,16,Medicina
Amanda,303507,16,Medicina
Lara,303636,16,Engenharia
Flora,317591,16,Fisica
Rodrigo,320520,16,Odontologia
Marcia,325108,16,Medicina
Tiago,327646,16,Direito
Marcos,344062,16,Letras
Rodrigo,366804,16,Letras
Flora,397050,16,Quimica
Clara,397459,16,Computacao
Lucia,404624,16,Odontologia
Marcos,421788,16,Direito
Amanda,449658,16,Administracao
Lucas,460294,16,Matematica
Ana,462604,16,Letras
Marcos,469088,16,Quimica
Julia,477295,16,Engenharia
Luis,500940,16,Quimica
Luis,508531,16,Quimica
Marcia,515967,16,Quimica
Marcia,528377,16,Fisica
Lara,530318,16,Odontologia
Julia,552752,16,Direito
Tiago,558033,16,Odontologia
Lara,563785,16,Fisica
Julia,570221,16,Odontologia
Jose,572346,16,Fisica
Amanda,579962,16,Fisica
Rodrigo,581405,16,Odontologia
Rodrigo,591146,16,Matematica
Tiago,592799,16,Quimica
Maria,606606,16,Computacao
Amanda,607195,16,Medicina
Marcos,623935,16,Quimica
Julia,630298,16,Letras
Maria,637293,16,Engenharia
Flora,641149,16,Medicina
Lara,647846,16,Letras
Maria,649996,16,Fisica
Maria,654584,16,Administracao
Marcia,656420,16,Letras
Lucas,663396,16,Fisica
Luisa,666448,16,Odontologia
Flora,676981,16,Computacao
Luis,677985,16,Odontologia
Clara,684245,16,Odontologia
Pedro,704346,16,Letras
Flora,705175,16,Direito
Ana,705274,16,Fisica
Lucas,723026,16,Administracao
Ana,743512,16,Medicina
Jose,785047,16,Letras
Lara,787824,16,Engenharia
Lara,793817,16,Fisica
Luisa,803251,16,Administracao
Luisa,813823,16,Administracao
Maria,818997,16,Matematica
Rodrigo,823004,16,Engenharia
Lucia,831644,16,Direito
Clara,864443,16,Direito
Rodrigo,875033,16,Quimica
Luisa,907372,16,Fisica
Clara,918033,16,Odontologia
Tiago,931959,16,Quimica
Ana,939925,16,Administracao
Lara,942277,16,Administracao
Clara,946835,16,Engenharia
Marcia,950062,16,Direito
Luisa,952280,16,Fisica
Maria,955698,16,Engenharia
Amanda,957620,16,Direito
Zeca,978602,16,Matematica
Rodrigo,981662,16,Engenharia
Lucia,992147,16,Matematica
Rodrigo,102861,17,Matematica
Rodrigo,116833,17,Direito
Lucia,130101,17,Matematica
Zeca,136607,17,Administracao
Tiago,138126,17,Letras
Lucia,140557,17,Direito
Zeca,156634,17,Fisica
Lucia,159779,17,Medicina
Clara,170543,17,Medicina
Ana,175111,17,Odontologia
Zeca,188894,17,Letras
Maria,197901,17,Letras
Marcia,199226,17,Letras
Lara,207790,17,Administracao
Lucas,221974,17,Odontologia
Marcos,226909,17,Quimica
Lara,235965,17,Matematica
Ana,238400,17,Administracao
Clara,243316,17,Engenharia
Jose,244283,17,Odontologia
Ana,254004,17,Medicina
Celia,255577,17,Direito
Jose,256188,17,Computacao
Marcia,257579,17,Computacao
Lucas,269859,17,Computacao
Clara,276624,17,Matematica
Jose,284064,17,Fisica
Clara,290481,17,Engenharia
Marcia,314893,17,Computacao
Celia,319399,17,Fisica
Rodrigo,327424,17,Computacao
Julia,328015,17,Odontologia
Tiago,328931,17,Odontologia
Tiago,330486,17,Medicina
Lara,345403,17,Administracao
Joao,369614,17,Engenharia
Tiago,374173,17,Quimica
Rodrigo,377033,17,Fisica
Luisa,386221,17,Medicina
Jose,395583,17,Medicina
Rodrigo,398042,17,Quimica
Marcos,418729,17,Administracao
Joao,422657,17,Odontologia
Rodrigo,432983,17,Matematica
Tiago,442986,17,Computacao
Pedro,443077,17,Quimica
Joao,445725,17,Quimica
Zeca,456871,17,Fisica
Celia,461754,17,Administracao
Marcos,466841,17,Computacao
Lucia,480943,17,Medicina
Lucas,487073,17,Administracao
Lucia,491438,17,Odontologia
Lucia,493001,17,Computacao
Julia,497788,17,Fisica
Zeca,500061,17,Computacao
Rodrigo,502390,17,Quimica
Celia,520367,17,Medicina
Julia,522170,17,Medicina
Rodrigo,546177,17,Letras
Lara,550793,17,Direito
Jose,560395,17,Matematica
Flora,562618,17,Computacao
Julia,567196,17,Computacao
Zeca,575409,17,Direito
Joao,577086,17,Direito
Marcia,577632,17,Quimica
Amanda,589334,17,Medicina
Celia,589515,17,Matematica
Ana,589669,17,Medicina
Ana,600911,17,Computacao
Amanda,609387,17,Computacao
Rodrigo,625352,17,Odontologia
Rodrigo,628389,17,Letras
Pedro,628418,17,Direito
Maria,633723,17,Letras
Lucas,637813,17,Fisica
Marcos,640236,17,Odontologia
Jose,645491,17,Direito
Rodrigo,647886,17,Direito
Lara,661980,17,Fisica
Tiago,685250,17,Computacao
Julia,690597,17,Quimica
Tiago,709457,17,Computacao
Luisa,717257,17,Medicina
Lucia,749592,17,Computacao
Lucia,752032,17,Computacao
Amanda,769153,17,Quimica
Ana,774361,17,Fisica
Ana,797744,17,Medicina
Julia,808181,17,Computacao
Jose,810084,17,Computacao
Jose,819988,17,Engenharia
Marcia,835286,17,Medicina
Amanda,853427,17,Computacao
Zeca,855504,17,Matematica
Maria,857203,17,Direito
Joao,858359,17,Direito
Lucas,862371,17,Engenharia
Maria,864666,17,Computacao
Amanda,866667,17,Medicina
Maria,867562,17,Odontologia
Lara,886102,17,Odontologia
Amanda,888599,17,Quimica
Pedro,910575,17,Letras
Lucia,922981,17,Direito
Rodrigo,925345,17,Matematica
Marcos,932768,17,Computacao
Clara,939060,17,Administracao
Maria,945311,17,Computacao
Joao,950078,17,Computacao
Clara,956994,17,Letras
Zeca,974029,17,Odontologia
Marcos,984165,17,Letras
Lara,987852,17,Medicina
Ana,999601,17,Medicina
Lara,121821,18,Medicina
Zeca,128384,18,Matematica
Lara,131910,18,Quimica
Luis,132226,18,Fisica
Tiago,134280,18,Matematica
Celia,141779,18,Computacao
Marcos,144497,18,Matematica
Pedro,153783,18,Engenharia
Zeca,155628,18,Direito
Luisa,158974,18,Computacao
Lucas,169199,18,Quimica
Joao,169974,18,Administracao
Lara,182275,18,Engenharia
Luis,185704,18,Administracao
Lucia,188847,18,Computacao
Celia,193055,18,Medicina
Lara,201056,18,Fisica
Lara,223578,18,Direito
Rodrigo,232936,18,Fisica
Flora,238158,18,Quimica
Lara,239499,18,Medicina
Ana,242857,18,Computacao
Maria,243632,18,Direito
Lucia,259309,18,Administracao
Marcos,260149,18,Fisica
Lara,263437,18,Direito
Ana,268525,18,Medicina
Marcos,278865,18,Quimica
Amanda,278889,18,Direito
Flora,281306,18,Computacao
Tiago,317567,18,Computacao
Flora,328417,18,Computacao
Luis,329076,18,Fisica
Jose,330119,18,Medicina
Ana,332332,18,Administracao
Jose,333644,18,Medicina
Maria,338377,18,Direito
Maria,343540,18,Fisica
Ana,345722,18,Fisica
Rodrigo,356070,18,Medicina
Rodrigo,356601,18,Administracao
Maria,357424,18,Quimica
Zeca,377173,18,Letras
Lara,385660,18,Direito
Amanda,403421,18,Matematica
Lara,408293,18,Letras
Celia,412172,18,Medicina
Jose,415586,18,Letras
Amanda,425883,18,Administracao
Julia,435573,18,Computacao
Joao,446480,18,Computacao
Lucas,469925,18,Matematica
Lara,474189,18,Odontologia
Marcia,476923,18,Administracao
Julia,487357,18,Direito
Luisa,489732,18,Medicina
Luisa,500270,18,Odontologia
Lucia,518251,18,Matematica
Maria,529869,18,Medicina
Clara,550234,18,Computacao
Rodrigo,552172,18,Odontologia
Marcos,558342,18,Odontologia
Amanda,560633,18,Odontologia
Lucas,565331,18,Medicina
Luisa,568712,18,Fisica
Luis,570630,18,Engenharia
Maria,572178,18,Engenharia
Zeca,581253,18,Fisica
Flora,597342,18,Computacao
Marcos,615857,18,Odontologia
Joao,619787,18,Computacao
Julia,622001,18,Odontologia
Zeca,637318,18,Matematica
Flora,642230,18,Fisica
Marcia,653617,18,Medicina
Amanda,653970,18,Quimica
Lara,654381,18,Fisica
Luisa,668281,18,Matematica
Pedro,669781,18,Odontologia
Marcos,674966,18,Quimica
Celia,680337,18,Quimica
Amanda,681214,18,Letras
Jose,686576,18,Computacao
Tiago,691697,18,Matematica
Julia,694462,18,Matematica
Julia,725038,18,Administracao
Joao,745686,18,Letras
Luis,760168,18,Matematica
Luis,761124,18,Letras
Ana,777362,18,Administracao
Rodrigo,786298,18,Medicina
Lara,790666,18,Fisica
Tiago,796440,18,Computacao
